"Data Source","World Development Indicators",

"Last Updated Date","2018-05-21",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Antigua and Barbuda","ATG","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","","","","","","","","","","","","","","","","","","40.7137791218938","52.4709386861277","69.1609519214413","56.3624692064956","61.6449972655946","56.92240891164","51.6237549795227","62.2388606463449","62.9582474627768","70.8898524895293","67.3197256374619","66.6083260035869","66.303668997715","75.1519567874838","76.7818351906583","81.5706076981343","82.0828718174435","74.0477344103989","69.5688213835235","63.5162959469811","65.1304355491765","64.0095101646449","61.7110796727144","56.2376672297022","55.6152972145989","52.5236002621431","54.0690301980092","58.0672448649239","53.3431827810947","47.3783264245425","44.3258158246968","45.6996845102791","45.8747920992245","45.4531840092761","47.0871740924054","44.8512534320228","45.7325791007516","46.1468134106401","44.1211710782973","41.7005853833817","",
"Australia","AUS","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","12.980363811589","12.3917995444191","13.9265425501997","12.9903235875559","14.9199623352166","13.2042101630575","12.9196421242715","12.8704487722269","12.2862918422585","11.9420768032261","12.9633144437515","12.6487209994051","12.8136583174211","14.1416576272548","13.1376092037863","14.2698633407773","13.5128968730487","14.011234786227","13.6176577057176","14.2998002679948","16.4230917903125","14.8947347683902","13.5247836796923","13.5801556153038","13.5584811880169","15.2363141788507","14.9886795349016","15.4669182521795","15.9546441941795","15.1143724311675","15.1149746230523","16.0240610046119","16.6496654057398","17.5261882857329","17.9493161533358","17.8597198427895","18.8677072043323","19.1075395785703","19.5702704812061","18.3368760064412","19.4130140661965","22.121346888712","20.6519779164921","18.9017536462043","16.9956820714923","18.0564450151434","19.5865023866803","19.8794416243655","19.7442503408101","22.5097674861826","19.4337144742075","21.1318154167275","21.2699791719876","19.7454189085772","20.8168861718052","19.684282653975","18.8678344564871","",
"Austria","AUT","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","23.2478251355375","23.0053297937755","23.4163731876468","23.4268110207149","23.3993989196795","23.7702933429408","23.708681403716","23.7042547228676","24.309171420419","26.8480017913189","27.3917570099059","27.0353547009084","26.9306664617911","26.9193668906389","29.1143698982224","28.0946358571963","28.7525264199134","27.9539567920211","29.1150929927063","30.8807752370752","31.693071746573","33.0006616212331","31.7414964327904","30.4781988225532","32.7510176204109","34.9213214117574","31.9977147053967","31.4062048787345","33.0709262043675","35.0152027446799","35.6974146503071","34.5904880807681","33.1552676574191","31.4638980106592","32.1585338854777","33.5331403455378","34.2492761073574","37.0280827384957","38.351021186462","39.3570378852981","43.3462739519887","44.6058108220616","45.2228065847026","44.4143653095029","46.7530610700485","48.4267855837703","50.5760769787822","52.1836957986565","52.8235229679709","44.6066299171911","51.2621603273359","53.9486708516394","53.9736761965302","53.4412932967224","53.3994478275587","52.9314906301335","52.2618340403307","",
"Azerbaijan","AZE","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","43.8608458390177","45.6586826347305","86.2036057343209","57.4324238295922","24.7226013631994","27.9008669978442","29.5157027636279","29.021878997429","22.7023181868384","27.9835791559384","39.041359869439","40.9230416133644","42.7685238946695","42.0108752536207","48.7874799245044","62.9364304252346","66.5062303193762","68.1309402161457","65.7761378471842","51.6357456848728","54.3047215353821","56.4269805307016","52.9743898874763","48.3271458526692","43.2609211373572","37.7947774917249","46.4519419276215","",
"Burundi","BDI","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","12.4999996173469","12.9310349923561","13.1147537297961","7.51879705708955","14.0939592991307","10.3479635040849","10.7761598187395","10.8005897057881","10.2956955708047","9.65871537583368","10.68877683141","8.4357498971691","11.7344434462895","11.0161732039696","9.75339745122198","8.27564572417933","13.7264838813102","17.5956102292697","11.7076927839069","14.1626446403038","8.80938056475716","9.14335050943539","10.2119749972585","9.04558008305351","11.5040069052475","11.0266191611848","11.7232284021254","9.74490293553833","12.5907700508015","9.74574398986099","7.87299229412311","9.91737770059179","8.74918052248067","9.38196084636915","10.2717650485534","12.9263428540091","5.8203210186241","9.83547257876313","7.99975012493753","7.57575757575758","6.3189705942566","5.17920216470328","4.68580418118256","6.38141402548028","6.95274828690709","8.20249917245945","7.28204932427273","7.25846908867834","9.49175781045581","6.80235842378646","8.91664261432878","9.35371046740612","8.95012892178016","7.39582113195581","7.76818251970473","6.25261841020093","6.24095090504535","",
"Belgium","BEL","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","37.8006916562682","39.0131747175795","40.5730913202231","41.7125390253489","42.4975544033319","41.9832709983555","43.6661054948653","42.6867324128493","44.8669093217312","48.8002811996644","44.4875972111773","43.3111788480817","43.6771381309046","47.5311995597057","52.3419329393251","45.4373516940318","48.0481916162093","47.0119767565971","45.2845690333052","49.4019856575411","49.5947962456052","53.4998976962844","57.4975713452714","59.7659885094121","63.7408387796952","61.803226862401","56.6858609201343","55.2853290114664","58.7887407384856","62.9040511996159","60.9713541770479","59.601747307917","58.1958342713121","55.5228054513972","57.8158656842799","59.487665854818","60.442784742598","63.8967697738669","63.3972679385354","63.8987249514794","71.8575876571322","71.020368082279","70.3147727574309","68.5960942765708","70.3699698839145","73.5212250642736","75.7111400434884","77.4908365667041","79.6959831488997","69.3097762464767","76.4484573425673","81.6355465472349","82.3058368243002","81.730301131825","82.6245939800374","80.7658797296138","82.8650811585625","",
"Benin","BEN","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","6.12391381286847","4.58348954869937","3.51782319655902","3.8213602129436","5.13733827248161","7.2675630638551","6.84654487020172","7.66582205030885","9.33464258694558","11.773219224993","15.1765798315404","17.7857985904456","14.3844022140076","15.6619756505168","14.3167561354656","14.528245927767","12.9912463096923","16.1789026141378","16.5250882129923","17.5163794748371","15.8165128794143","15.9305004610493","17.7710358297085","13.7642891939421","19.5793753212443","23.6526183539095","16.6759209455033","15.2675281201641","13.8037392116767","13.4954289813034","19.181303010653","21.0024860627473","23.2391480496458","22.4643830367555","28.3270186172953","27.3689425027528","26.4988115545834","27.1761345944549","27.0929395510065","23.6881830807318","21.1403892411983","20.3491627220441","20.1878816345702","18.9840514582783","18.8185548019761","18.9320388349515","18.5280226114768","22.5865082139112","22.8546382392536","20.3718071138697","23.7877295637564","21.3820785419831","24.5933543163307","28.1533224280472","32.0762579435358","28.2215469951261","30.5475570001855","",
"Burkina Faso","BFA","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","4.86196544713728","5.42888603877752","5.53198369723123","5.57949208143702","2.7988361825163","4.65259654312259","5.05173084981366","4.92850623155942","6.20473814688316","5.8172137405641","5.45524023286333","5.51146751662156","6.39972719517896","6.31179758031174","8.32076317273408","7.34825434792999","8.20525244540593","7.9602668654066","7.46841921604806","8.24613438701797","8.95052102371656","9.27641060746417","8.19571612776259","7.88414939830604","10.960913625855","9.92146469411376","8.99056313376556","11.3588168034253","10.9987001866015","8.74886259200754","10.9666914119517","10.4475484424359","8.8464803686211","8.95154328138584","14.2016211454196","14.1405565399915","10.5636052055707","10.8125309984677","12.8081030220056","9.51836806880178","9.5326020849116","9.24340542249341","9.17668489790803","8.71021282149153","11.328440265041","9.74399641841393","11.5188631532793","10.5497022107401","9.96729693724625","12.6993485768163","19.2267419676943","25.0036855362169","25.518517595935","26.1661942303642","25.929444692828","26.0469628195866","","",
"Bangladesh","BGD","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","9.99668529799247","10.7823534063335","10.7467512833228","9.98348512216025","10.0284124165217","9.66271640919628","10.2842808274445","9.30614212330159","8.33080893013733","8.14599241256528","8.31311289260521","6.29148731724424","5.6747304028231","6.53940933400325","3.70107546471338","2.89507889386174","4.74608176819018","7.04075196547742","5.55766316100946","6.1092194808131","5.49428379105126","5.13086315280464","5.07529986612759","5.60384903116941","3.39625513455005","5.38447860037049","5.18293196330185","4.99004963895921","5.42830096531266","5.54014371794136","5.90831648660892","6.66261196863293","7.58667691037111","9.01726903574974","9.00154364628231","10.864634213863","9.70650764952346","10.5203705573506","11.7573312287186","11.7586423857313","12.3442012279919","13.3865592080649","12.4099689322019","11.4311486959413","11.1465089461353","14.3928418979283","16.3534635652888","16.9953348464905","17.6588584820757","16.9401329056133","16.0241126856916","19.9220749554939","20.1615888634893","19.5378741103687","18.9896599950107","17.3366749302778","16.6497168819452","",
"Bulgaria","BGR","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","35.7078050482727","35.6384355453304","34.2829076620825","37.1482428072153","40.1311614131585","42.7951269047992","40.0336395168459","40.7852991817975","45.5656654957217","46.4205946557788","33.1191920794173","43.4782608695652","47.1115537848605","38.2067581130813","45.0475646879756","51.9210308681775","58.9780273489085","50.1091427260142","43.0871930390185","43.1687705547894","36.4880861402398","35.0000218576793","33.734710321585","34.531600344756","41.0559456994903","42.5974801947728","47.0810806303858","51.9656712833921","52.5433676169218","42.3320120735649","50.1789511103598","59.069064120149","60.8018104834168","64.6525295119935","65.0124068677831","64.1071862503397","63.9787145211033","",
