"Data Source","World Development Indicators",

"Last Updated Date","2018-05-21",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Aruba","ABW","Imports of goods and services (% of GDP)","NE.IMP.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","75.5564888702226","86.4636209813875","88.7044534412956","86.2509117432531","83.629654478363","84.6420499317403","70.6868685663848","68.5340400957737","69.4004420703629","70.8537283071642","68.5728397290291","77.9331336129419","77.9736251972573","76.4503978520037","74.9266149219327","76.2765783831758","74.8163425163962","86.4363547541281","","","","","","",
"Afghanistan","AFG","Imports of goods and services (% of GDP)","NE.IMP.GNFS.ZS","7.02479336623182","8.09716629841498","9.34959330590257","16.8639103340214","18.0555553858025","21.4128034842526","18.571428537415","14.2098270385479","15.2103564269331","14.9842272480072","11.9441077843955","16.1407951985264","18.1058497936081","14.7435907141683","14.8453612226592","14.2723007777117","14.8695654136106","14.8231754979077","13.8720537510231","","","","","","","","","","","","","","","","","","","","","","","","65.2877040064813","94.344170165331","87.1393244439261","77.4671450090535","74.0850567541813","58.3500468255022","55.0725455538748","42.199228474704","44.9434783455166","44.1939480697298","39.1423974375544","49.7577748988401","45.7738771424388","48.8016150277632","49.0249772881177","",
"Angola","AGO","Imports of goods and services (% of GDP)","NE.IMP.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","50","50","50","50","33.3333333333333","33.3333333333333","25","73.0769230769231","55.3903345724907","75.8465011286682","","69.3878105501782","69.1818059864652","73.1443610067921","92.6972919457224","62.8277576988658","74.9465152594378","56.6689705374146","62.028944298285","54.1448503922419","53.6387999959363","38.9782646649244","43.5156263984588","51.226551422509","55.4086838758156","42.9499678492659","42.1629619815671","39.7394325301859","39.3800088030324","42.2300420677408","36.8763946601787","29.4301008239063","",
"Albania","ALB","Imports of goods and services (% of GDP)","NE.IMP.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","22.7094872101267","21.5149631152552","23.8775380802708","20.8090179528047","19.3773469450191","18.4498610792827","15.4675093992668","15.56251100968","19.218015639699","20.7183770714543","23.1963365823411","27.5918067713693","88.5122484875216","62.2925456463398","38.950324804661","34.5120477295929","32.0244357332342","34.1899954264872","34.6370379172469","32.213016956772","38.0533447039288","38.9987901608209","44.3353664737092","45.084711039297","44.3748890249123","47.4712276387193","48.5210536488903","54.7882006816762","52.1493061638014","49.8541677040786","48.5640003135005","51.9770478064706","47.572686981896","46.9574284099955","47.1948551451243","44.7366177301082","45.8222542981319","",
"Andorra","AND","Imports of goods and services (% of GDP)","NE.IMP.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Imports of goods and services (% of GDP)","NE.IMP.GNFS.ZS","","","","","","","","","","","21.9579322090316","20.6759922037808","21.1382029127541","23.9034994072677","24.7784618177225","31.8626697296428","31.9091361710294","36.9460109759149","38.5241857420585","35.9149000806388","34.2740160545559","40.0300388316351","43.1084553167554","40.6459261534961","39.2248224905248","35.0104905655156","32.6786202068159","31.2376544492238","32.6571035619718","36.1625812552932","33.5150431544048","40.0554026736618","33.7093403416527","31.9244907822593","29.2458776419731","30.5696765412431","29.2060653150809","31.1122573201825","33.4176330496378","30.1380342240664","28.2097094643259","31.5495130951999","32.108661941472","34.3462873240679","36.1564651728642","36.4312572774993","35.8861124778471","39.7259764665941","40.8323666628358","42.2578269716026","40.2462808688546","39.4325454683729","40.0804632438166","41.0037680525216","42.4023714842142","46.0991468908327","44.5814339353754","",
"United Arab Emirates","ARE","Imports of goods and services (% of GDP)","NE.IMP.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40.7053546013305","43.5683114306968","46.3769702756087","53.0548827099662","51.9676896079697","50.8428719062721","64.4140553654625","69.6456553241827","73.8086264961866","79.0328911819714","81.6310987538862","85.3134603702504","85.2288542433791","89.0228461949145","96.0239090895056","101.439798388126","",
"Argentina","ARG","Imports of goods and services (% of GDP)","NE.IMP.GNFS.ZS","7.60404697912324","5.99494531619397","9.38368289056535","7.89045203275027","5.56371407476368","4.15058297228058","4.98968803354159","4.99706414666865","5.40371142251908","6.3987133165299","4.73587740491927","6.60795603425504","6.837877358188","5.70950079036544","6.28900906002225","5.97867249611964","5.92149632801213","7.32639415527493","5.71540643432856","6.32976917431398","6.48369977949523","7.37192799858578","6.52099302139343","5.83614942003836","4.75648611743286","6.27332704995288","6.32405524784407","7.57576406955165","6.21184563577101","6.57938879331971","4.63132240741775","6.07801081056698","8.13279311431564","9.31379987179322","10.6043155686762","10.0910062424488","11.0778165329933","12.7753458148802","12.9344292866742","11.5554999065332","11.6361061386417","10.2732913591251","13.3700972551027","14.7137808435275","16.8450266849578","17.3210151529969","17.4067852681036","18.2824203070644","18.341772996414","14.4961418494061","16.0371898581987","16.7569458546489","14.2886829096862","14.7167556136651","14.0013150558519","11.8481403559703","13.4905555240191","",
"Armenia","ARM","Imports of goods and services (% of GDP)","NE.IMP.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","46.3327370304115","60.1204668088844","61.2560043844096","60.7541704101782","73.1007908902445","62.1869335002753","55.9895587782909","58.2744746338423","52.8394326320896","49.8021595897754","50.5432892388463","46.1488057252256","46.5868685566093","50.0350015421852","45.3023812945591","43.2297051528684","39.250207195284","39.1508144360714","40.6557586180882","43.0044011890563","45.3171919668174","47.3540116617878","48.4000215166647","48.1970692931673","47.0465461367346","41.8652688700677","42.6640328169377","",
"American Samoa","ASM","Imports of goods and services (% of GDP)","NE.IMP.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","108.75486381323","108.349146110057","110.7421875","122.0675944334","127.822580645161","119.423076923077","133.92539964476","82.0058997050148","93.2291666666667","97.3867595818815","99.8447204968944","100","105.443234836703","99.6965098634294","93.4650455927052","",
"Antigua and Barbuda","ATG","Imports of goods and services (% of GDP)","NE.IMP.GNFS.ZS","","","","","","","","","","","","","","","","","","44.9194518096818","49.4449038285663","63.8064023028977","72.5855948113051","80.4614143201677","89.9172166740161","64.3507552322733","70.7830176924662","77.7008756106507","101.040770304687","89.9071928939826","71.1924564574966","77.2368150841459","74.1201700997085","74.292228606164","77.402392817941","74.4619338925851","71.5820737927484","76.0333569006158","73.7484736913867","70.2728275679228","67.3098979678445","69.084177008282","60.044123393735","60.7653928301747","58.2409409477541","62.4969903241966","64.4142160534144","66.7898975931842","70.7354655253179","71.0973928970972","69.5839149447118","57.7067902721996","58.9108987097428","56.1596844692774","57.9475106423128","60.4218866126366","58.0090036917451","49.1195263602898","47.0296995170976","",
